sku,issue,details,confidence
OSC-ADA-RESTROOM-MEN,"weak_canonical_candidate","canonical=OSC-ADA-RESTROOM-MEN method=fallback_single_token attrs=compliance desc_fp=compliant men restroom sign pictogram ta",0.740
OSC-ADA-RESTROOM-WOMEN,"weak_canonical_candidate","canonical=OSC-ADA-RESTROOM-WOMEN method=fallback_single_token attrs=compliance desc_fp=compliant women restroom sign pictogram ",0.740
OSC-ADA-RESTROOM-UNISEX,"weak_canonical_candidate","canonical=OSC-ADA-RESTROOM-UNISEX method=fallback_single_token attrs=compliance desc_fp=compliant unisex restroom sign pictogram",0.740
OSC-ADA-RESTROOM-GN,"weak_canonical_candidate","canonical=OSC-ADA-RESTROOM-GN method=fallback_single_token attrs=compliance desc_fp=compliant gender neutral restroom sign p",0.740
OSC-ADA-ACCESSIBLE-ISA,"weak_canonical_candidate","canonical=OSC-ADA-ACCESSIBLE-ISA method=fallback_single_token attrs=compliance desc_fp=accessibility isa sign tactile text grad",0.740
ADADEPOT-EP5011,"weak_canonical_candidate","canonical=ADADEPOT-EP5011 method=fallback_single_token attrs=compliance desc_fp=exit sign acrylic tactile braille sign f",0.740
ADADEPOT-EP5062,"weak_canonical_candidate","canonical=ADADEPOT-EP5062 method=fallback_single_token attrs=compliance desc_fp=exit route sign acrylic tactile braille ",0.740
OSC-ADA-STAIR,"weak_canonical_candidate","canonical=OSC-ADA-STAIR method=fallback_single_token attrs=compliance desc_fp=stair sign tactile text grade 2 braille",0.740
OSC-ADA-STAIR-UP,"weak_canonical_candidate","canonical=OSC-ADA-STAIR-UP method=fallback_single_token attrs=compliance desc_fp=stairs up sign tactile text grade 2 brai",0.740
OSC-ADA-STAIR-DOWN,"weak_canonical_candidate","canonical=OSC-ADA-STAIR-DOWN method=fallback_single_token attrs=compliance desc_fp=stairs down sign tactile text grade 2 br",0.740
ADADEPOT-STAIR-LEVEL,"weak_canonical_candidate","canonical=ADADEPOT-STAIR-LEVEL method=fallback_single_token attrs=compliance desc_fp=stair floor level identification sign st",0.740
OSC-DIR-WALL,"weak_canonical_candidate","canonical=OSC-DIR-WALL method=fallback_single_token attrs= desc_fp=wall mounted directional wayfinding sign",0.740
ASI-PUZZLE-INSERT,"weak_canonical_candidate","canonical=ASI-PUZZLE-INSERT method=fallback_single_token attrs= desc_fp=modular insert room wayfinding sign lock",0.740
ASI-PUZZLE-PROJ,"weak_canonical_candidate","canonical=ASI-PUZZLE-PROJ method=fallback_single_token attrs= desc_fp=projecting modular wayfinding sign corri",0.740
SETON-FE-DECAL,"weak_canonical_candidate","canonical=SETON-FE-DECAL method=fallback_single_token attrs=compliance desc_fp=fire extinguisher decal label cabinet wa",0.740
OSC-AED-SIGN,"weak_canonical_candidate","canonical=OSC-AED-SIGN method=fallback_single_token attrs= desc_fp=aed wall sign flat or projecting style a",0.740
OSC-NO-SMOKING,"weak_canonical_candidate","canonical=OSC-NO-SMOKING method=fallback_single_token attrs= desc_fp=no smoking sign or decal wall mounted or",0.740
OSC-MAX-OCC,"weak_canonical_candidate","canonical=OSC-MAX-OCC method=fallback_single_token attrs= desc_fp=maximum occupancy sign allowance wall mo",0.740
GEMINI-CAST-METAL-LETTERS,"weak_canonical_candidate","canonical=GEMINI-CAST-METAL-LETTERS method=fallback_single_token attrs= desc_fp=cast metal building letters exterior dim",0.740
GEMINI-IMPL-LETTERS,"weak_canonical_candidate","canonical=GEMINI-IMPL-LETTERS method=fallback_single_token attrs= desc_fp=injection molded plastic letters interio",0.740
GEMINI-ADDRESS-NUM,"weak_canonical_candidate","canonical=GEMINI-ADDRESS-NUM method=fallback_single_token attrs= desc_fp=cast metal or plastic address number all",0.740
PEN-6023XX-1,"weak_canonical_candidate","canonical=PEN-6023XX-1 method=fallback_single_token attrs= desc_fp=slope top kit 1 standard flat top penco ",0.740
PEN-6023XX-3,"weak_canonical_candidate","canonical=PEN-6023XX-3 method=fallback_single_token attrs= desc_fp=slope top kit 3 standard flat top penco ",0.740
PEN-CONT-SLOPE-HOOD-KIT,"weak_canonical_candidate","canonical=PEN-CONT-SLOPE-HOOD-KIT method=fallback_single_token attrs= desc_fp=continuous slope hood kit locker bank co",0.740
PEN-SLOPE-HOOD-SPLICE,"weak_canonical_candidate","canonical=PEN-SLOPE-HOOD-SPLICE method=fallback_single_token attrs= desc_fp=splice accessory penco continuous slope ",0.740
PEN-SLOPE-HOOD-END,"weak_canonical_candidate","canonical=PEN-SLOPE-HOOD-END method=fallback_single_token attrs= desc_fp=end closure accessory exposed end penco ",0.740
PEN-SLOPE-CORNER-FILLER,"weak_canonical_candidate","canonical=PEN-SLOPE-CORNER-FILLER method=fallback_single_token attrs= desc_fp=corner filler kit penco slope top locker",0.740
PEN-SLOPE-TOP-FILLER,"weak_canonical_candidate","canonical=PEN-SLOPE-TOP-FILLER method=fallback_single_token attrs= desc_fp=slope top filler locker bank wall closur",0.740
PEN-FLAT-TOP-FILLER,"weak_canonical_candidate","canonical=PEN-FLAT-TOP-FILLER method=fallback_single_token attrs= desc_fp=flat top locker filler wall closure or e",0.740
PEN-FLAT-TOP-CORNER-FILLER,"weak_canonical_candidate","canonical=PEN-FLAT-TOP-CORNER-FILLER method=fallback_single_token attrs= desc_fp=corner filler kit penco flat top locker ",0.740
PEN-EXPOSED-END-16GA,"weak_canonical_candidate","canonical=PEN-EXPOSED-END-16GA method=fallback_single_token attrs= desc_fp=16 gauge exposed finished end panel penc",0.740
PEN-END-BASE,"weak_canonical_candidate","canonical=PEN-END-BASE method=fallback_single_token attrs= desc_fp=end base penco locker bank finish match ",0.740
PEN-REAR-LEGS,"weak_canonical_candidate","canonical=PEN-REAR-LEGS method=fallback_single_token attrs= desc_fp=rear leg accessory penco lockers where r",0.740
PEN-TAB-SHELF,"weak_canonical_candidate","canonical=PEN-TAB-SHELF method=fallback_single_token attrs= desc_fp=replacement top or bottom tab shelf penc",0.740
PEN-LOCKER-SHELF,"weak_canonical_candidate","canonical=PEN-LOCKER-SHELF method=fallback_single_token attrs= desc_fp=replacement locker shelf penco steel loc",0.740
PEN-SINGLE-PRONG-HOOK,"weak_canonical_candidate","canonical=PEN-SINGLE-PRONG-HOOK method=fallback_single_token attrs= desc_fp=replacement single prong coat hook penco",0.740
PEN-NUMBER-PLATE,"weak_canonical_candidate","canonical=PEN-NUMBER-PLATE method=fallback_single_token attrs= desc_fp=replacement locker number plate fit penc",0.740
PEN-NUMPLATE-RIVETS,"weak_canonical_candidate","canonical=PEN-NUMPLATE-RIVETS method=fallback_single_token attrs= desc_fp=pop rivets attaching locker number plate",0.740
PEN-SLOTLESS-BOLT-NUT,"weak_canonical_candidate","canonical=PEN-SLOTLESS-BOLT-NUT method=fallback_single_token attrs= desc_fp=slotless locker bolt hex nut locker asse",0.740
PEN-TOUCHUP-PAINT,"weak_canonical_candidate","canonical=PEN-TOUCHUP-PAINT method=fallback_single_token attrs= desc_fp=locker touch up paint available as pen b",0.740
MASTERLOCK-1630,"weak_canonical_candidate","canonical=MASTERLOCK-1630 method=fallback_single_token attrs= desc_fp=built in combination locker lock metal l",0.740
MASTERLOCK-1652,"weak_canonical_candidate","canonical=MASTERLOCK-1652 method=fallback_single_token attrs= desc_fp=built in combination locker lock key con",0.740
MASTERLOCK-1710ADA,"weak_canonical_candidate","canonical=MASTERLOCK-1710ADA method=fallback_single_token attrs=compliance desc_fp=compliant built in combination locker lo",0.740
MASTERLOCK-1714ADA,"weak_canonical_candidate","canonical=MASTERLOCK-1714ADA method=fallback_single_token attrs=compliance desc_fp=compliant built in key operated locker l",0.740
SCR-TUFF-BENCH,"weak_canonical_candidate","canonical=SCR-TUFF-BENCH method=fallback_single_token attrs=material desc_fp=hdpe solid plastic locker room bench col",0.740
ASI-PHEN-SLOPE-TOP,"weak_canonical_candidate","canonical=ASI-PHEN-SLOPE-TOP method=fallback_single_token attrs=material desc_fp=phenolic slope top system asi phenolic l",0.740
ASI-HOODS-BASES-TRIMS,"weak_canonical_candidate","canonical=ASI-HOODS-BASES-TRIMS method=fallback_single_token attrs= desc_fp=asi locker hoods bases trims fillers acc",0.740
BOB-B-309,"weak_canonical_candidate","canonical=BOB-B-309 method=fallback_single_token attrs=mounting desc_fp=toilet seat cover dispenser toilet tissu",0.740
BOB-B-47064,"weak_canonical_candidate","canonical=BOB-B-47064 method=fallback_single_token attrs=mounting desc_fp=toilet tissue dispenser sanitary napkin ",0.740
BR-236,"weak_canonical_candidate","canonical=BR-236 method=fallback_single_token attrs=mounting desc_fp=center pull towel dispenser 12 gallon wa",0.740
BR-2A05,"weak_canonical_candidate","canonical=BR-2A05 method=fallback_single_token attrs=mounting desc_fp=folded towel dispenser 12 gallon waste r",0.740
BR-2A25-36,"weak_canonical_candidate","canonical=BR-2A25-36 method=fallback_single_token attrs=mounting desc_fp=sensored roll towel dispenser 21 gallon ",0.740
AMEREX-B260,"weak_canonical_candidate","canonical=AMEREX-B260 method=fallback_single_token attrs=compliance desc_fp=6 liter class k wet chemical fire exting",0.740
AMEREX-B262,"weak_canonical_candidate","canonical=AMEREX-B262 method=fallback_single_token attrs=compliance desc_fp=2 5 gallon class k wet chemical fire ext",0.740
AMEREX-B272NM,"weak_canonical_candidate","canonical=AMEREX-B272NM method=fallback_single_token attrs=compliance desc_fp=2 5 gallon water mist fire extinguisher ",0.740
AMEREX-B386T,"weak_canonical_candidate","canonical=AMEREX-B386T method=fallback_single_token attrs=compliance desc_fp=5 lb carbon dioxide fire extinguisher wa",0.740
AMEREX-B570,"weak_canonical_candidate","canonical=AMEREX-B570 method=fallback_single_token attrs=compliance desc_fp=class d dry powder fire extinguisher all",0.740
SF-UB5,"weak_canonical_candidate","canonical=SF-UB5 method=fallback_single_token attrs=compliance desc_fp=standard duty bracket 5 lb dry chemical ",0.740
SF-UP10-MD,"weak_canonical_candidate","canonical=SF-UP10-MD method=fallback_single_token attrs=compliance desc_fp=medium duty vehicle marine bracket 10 lb",0.740
SF-HDVB-1,"weak_canonical_candidate","canonical=SF-HDVB-1 method=fallback_single_token attrs=compliance desc_fp=heavy duty vehicle marine bracket 5 lb a",0.740
SF-HDVB-2,"weak_canonical_candidate","canonical=SF-HDVB-2 method=fallback_single_token attrs=compliance desc_fp=heavy duty vehicle marine bracket 10 lb ",0.740
SF-HDVB-3,"weak_canonical_candidate","canonical=SF-HDVB-3 method=fallback_single_token attrs=compliance desc_fp=heavy duty vehicle marine bracket 20 lb ",0.740
FEC-GLAZING-ACRYLIC,"weak_canonical_candidate","canonical=FEC-GLAZING-ACRYLIC method=fallback_single_token attrs=compliance desc_fp=replacement clear acrylic glazing panel ",0.740
FEC-BREAK-GLASS,"weak_canonical_candidate","canonical=FEC-BREAK-GLASS method=fallback_single_token attrs=compliance desc_fp=replacement break glass or break panel i",0.740
FE-HOOK-WALL,"weak_canonical_candidate","canonical=FE-HOOK-WALL method=fallback_single_token attrs=compliance desc_fp=wall hook hanger portable fire extinguis",0.740
FE-TAG-ANNUAL,"weak_canonical_candidate","canonical=FE-TAG-ANNUAL method=fallback_single_token attrs=compliance desc_fp=fire extinguisher inspection tag allowan",0.740
FE-DECAL-CABINET,"weak_canonical_candidate","canonical=FE-DECAL-CABINET method=fallback_single_token attrs=compliance desc_fp=fire extinguisher cabinet decal equipmen",0.740
FDC-SIGN,"weak_canonical_candidate","canonical=FDC-SIGN method=fallback_single_token attrs=compliance desc_fp=fire department connection sign allowanc",0.740
FIRE-RISER-SIGN,"weak_canonical_candidate","canonical=FIRE-RISER-SIGN method=fallback_single_token attrs=compliance desc_fp=fire riser room sign wall mounted code l",0.740
SPRINKLER-ROOM-SIGN,"weak_canonical_candidate","canonical=SPRINKLER-ROOM-SIGN method=fallback_single_token attrs= desc_fp=sprinkler room sign wall mounted code li",0.740
KNOX-3200-REC-DB,"weak_canonical_candidate","canonical=KNOX-3200-REC-DB method=fallback_single_token attrs=mounting desc_fp=knoxbox 3200 high security key box mount",0.740
FIRE-BLANKET-CAB,"weak_canonical_candidate","canonical=FIRE-BLANKET-CAB method=fallback_single_token attrs=compliance desc_fp=wall mounted fire blanket cabinet allowa",0.740
MADRAX-U24-QS,"weak_canonical_candidate","canonical=MADRAX-U24-QS method=fallback_single_token attrs=mounting desc_fp=u24 inverted u bike rack mounted or embe",0.740
MADRAX-U-QS,"weak_canonical_candidate","canonical=MADRAX-U-QS method=fallback_single_token attrs= desc_fp=inverted u bike rack quick ship model co",0.740
MADRAX-UX-QS,"weak_canonical_candidate","canonical=MADRAX-UX-QS method=fallback_single_token attrs= desc_fp=ux inverted bike rack quick ship model c",0.740
MADRAX-SQUARE-U-QS,"weak_canonical_candidate","canonical=MADRAX-SQUARE-U-QS method=fallback_single_token attrs= desc_fp=square u bike rack quick ship model comm",0.740
MADRAX-POST-RING,"weak_canonical_candidate","canonical=MADRAX-POST-RING method=fallback_single_token attrs= desc_fp=post ring bike rack commercial site furn",0.740
MADRAX-WALL-RACK,"weak_canonical_candidate","canonical=MADRAX-WALL-RACK method=fallback_single_token attrs= desc_fp=wall mounted bike rack vertical horizont",0.740
MADRAX-U24-RAIL-4,"weak_canonical_candidate","canonical=MADRAX-U24-RAIL-4 method=fallback_single_token attrs= desc_fp=u24 bike rack on rail system 4 bike conf",0.740
RELIANCE-R7902,"weak_canonical_candidate","canonical=RELIANCE-R7902 method=fallback_single_token attrs= desc_fp=steel removable bollard allowance contro",0.740
DALITE-TENSIONED-CONT,"weak_canonical_candidate","canonical=DALITE-TENSIONED-CONT method=fallback_single_token attrs= desc_fp=electric projection screen allowance cei",0.740
GEMINI-CAST-BRONZE-PLAQUE,"weak_canonical_candidate","canonical=GEMINI-CAST-BRONZE-PLAQUE method=fallback_single_token attrs= desc_fp=cast bronze commemorative or building pl",0.740
GEMINI-CAST-ALUM-PLAQUE,"weak_canonical_candidate","canonical=GEMINI-CAST-ALUM-PLAQUE method=fallback_single_token attrs= desc_fp=cast aluminum building or dedication pla",0.740
GEMINI-PRECISION-BRONZE-PLAQUE,"weak_canonical_candidate","canonical=GEMINI-PRECISION-BRONZE-PLAQUE method=fallback_single_token attrs= desc_fp=precision tooled bronze plaque allowance",0.740
GEMINI-CAST-METAL-LETTER,"weak_canonical_candidate","canonical=GEMINI-CAST-METAL-LETTER method=fallback_single_token attrs= desc_fp=cast metal sign letter interior or exter",0.740
GEMINI-ADDRESS-NUMBER,"weak_canonical_candidate","canonical=GEMINI-ADDRESS-NUMBER method=fallback_single_token attrs= desc_fp=cast metal or plastic building address n",0.740
ASI-1204-V,"weak_canonical_candidate","canonical=ASI-1204-V method=fallback_single_token attrs=finish desc_fp=vinyl shower curtain commercial shower a",0.740
RCP-354060GY,"weak_canonical_candidate","canonical=RCP-354060GY method=fallback_single_token attrs= desc_fp=44 gallon brute gray round trash contain",0.740
RCP-264360GY,"weak_canonical_candidate","canonical=RCP-264360GY method=fallback_single_token attrs= desc_fp=44 gallon brute gray dome top lid round ",0.740
RCP-354100GY,"weak_canonical_candidate","canonical=RCP-354100GY method=fallback_single_token attrs= desc_fp=32 gallon brute gray round trash contain",0.740
RCP-263200GY,"weak_canonical_candidate","canonical=RCP-263200GY method=fallback_single_token attrs= desc_fp=32 gallon brute gray lid round trash con",0.740
RCP-354007BK,"weak_canonical_candidate","canonical=RCP-354007BK method=fallback_single_token attrs=finish desc_fp=23 gallon slim jim vented container narr",0.740
RCP-354007BLUE,"weak_canonical_candidate","canonical=RCP-354007BLUE method=fallback_single_token attrs= desc_fp=23 gallon slim jim blue recycling contai",0.740
RCP-270388BLUE,"weak_canonical_candidate","canonical=RCP-270388BLUE method=fallback_single_token attrs= desc_fp=23 gallon slim jim recycling lid blue bo",0.740
RCP-270388BK,"weak_canonical_candidate","canonical=RCP-270388BK method=fallback_single_token attrs=finish desc_fp=23 gallon slim jim trash lid waste strea",0.740
WITT-28DT,"weak_canonical_candidate","canonical=WITT-28DT method=fallback_single_token attrs= desc_fp=steel dome top waste receptacle allowanc",0.740
WITT-36R,"weak_canonical_candidate","canonical=WITT-36R method=fallback_single_token attrs= desc_fp=outdoor steel waste receptacle allowance",0.740
WITT-32GC,"weak_canonical_candidate","canonical=WITT-32GC method=fallback_single_token attrs= desc_fp=outdoor decorative waste receptacle allo",0.740
WITT-RECYCLE-2STREAM,"weak_canonical_candidate","canonical=WITT-RECYCLE-2STREAM method=fallback_single_token attrs= desc_fp=two stream recycling station allowance l",0.740
WITT-RECYCLE-3STREAM,"weak_canonical_candidate","canonical=WITT-RECYCLE-3STREAM method=fallback_single_token attrs= desc_fp=three stream recycling station allowance",0.740
GLOBAL-STONE-URN-24GAL,"weak_canonical_candidate","canonical=GLOBAL-STONE-URN-24GAL method=fallback_single_token attrs=compliance desc_fp=stone panel all weather trash receptacle",0.740
GLOBAL-STONE-URN-SMALL,"weak_canonical_candidate","canonical=GLOBAL-STONE-URN-SMALL method=fallback_single_token attrs= desc_fp=small stone panel all weather ash urn fr",0.740
ULTRASITE-AUGUSTA-36ASH,"weak_canonical_candidate","canonical=ULTRASITE-AUGUSTA-36ASH method=fallback_single_token attrs=finish desc_fp=36 gallon steel outdoor trash receptacle",0.740
GLOBAL-SLATTED-36ASH,"weak_canonical_candidate","canonical=GLOBAL-SLATTED-36ASH method=fallback_single_token attrs= desc_fp=36 gallon outdoor slatted steel trash ca",0.740
JUSTRITE-SCF-WALL,"weak_canonical_candidate","canonical=JUSTRITE-SCF-WALL method=fallback_single_token attrs= desc_fp=wall mounted cigarette butt receptacle a",0.740
MAGLIN-MLWR200,"weak_canonical_candidate","canonical=MAGLIN-MLWR200 method=fallback_single_token attrs= desc_fp=outdoor waste receptacle allowance site ",0.740
MAGLIN-MLWR300,"weak_canonical_candidate","canonical=MAGLIN-MLWR300 method=fallback_single_token attrs= desc_fp=outdoor recycling receptacle allowance s",0.740
FORMSURFACES-CHIPMAN,"weak_canonical_candidate","canonical=FORMSURFACES-CHIPMAN method=fallback_single_token attrs= desc_fp=architectural outdoor litter receptacle ",0.740
GHENT-M1-44-4,"weak_canonical_candidate","canonical=GHENT-M1-44-4 method=fallback_single_token attrs= desc_fp=4 ft x 4 ft magnetic porcelain whiteboar",0.740
GHENT-M1-46-4,"weak_canonical_candidate","canonical=GHENT-M1-46-4 method=fallback_single_token attrs= desc_fp=4 ft x 6 ft magnetic porcelain whiteboar",0.740
GHENT-M1-48-4,"weak_canonical_candidate","canonical=GHENT-M1-48-4 method=fallback_single_token attrs= desc_fp=4 ft x 8 ft magnetic porcelain whiteboar",0.740
GHENT-M1-410-4-2P,"weak_canonical_candidate","canonical=GHENT-M1-410-4-2P method=fallback_single_token attrs= desc_fp=4 ft x 10 ft magnetic porcelain whiteboa",0.740
GHENT-M1-412-4-2P,"weak_canonical_candidate","canonical=GHENT-M1-412-4-2P method=fallback_single_token attrs= desc_fp=4 ft x 12 ft magnetic porcelain whiteboa",0.740
CLARIDGE-MGMI-46,"weak_canonical_candidate","canonical=CLARIDGE-MGMI-46 method=fallback_single_token attrs=finish desc_fp=4 ft x 6 ft magnetic glass markerboard i",0.740
GHENT-AK44,"weak_canonical_candidate","canonical=GHENT-AK44 method=fallback_single_token attrs= desc_fp=4 ft x 4 ft natural cork bulletin board ",0.740
GHENT-AK48,"weak_canonical_candidate","canonical=GHENT-AK48 method=fallback_single_token attrs= desc_fp=4 ft x 8 ft natural cork bulletin board ",0.740
GHENT-WK48,"weak_canonical_candidate","canonical=GHENT-WK48 method=fallback_single_token attrs= desc_fp=4 ft x 8 ft natural cork bulletin board ",0.740
GHENT-12UT44-W,"weak_canonical_candidate","canonical=GHENT-12UT44-W method=fallback_single_token attrs= desc_fp=4 ft x 4 ft wrapped fabric bulletin boar",0.740
GHENT-12UT48-W,"weak_canonical_candidate","canonical=GHENT-12UT48-W method=fallback_single_token attrs= desc_fp=4 ft x 8 ft wrapped fabric bulletin boar",0.740
GHENT-12UV48-W,"weak_canonical_candidate","canonical=GHENT-12UV48-W method=fallback_single_token attrs= desc_fp=4 ft x 8 ft wrapped vinyl bulletin board",0.740
GHENT-SLIDING-WB,"weak_canonical_candidate","canonical=GHENT-SLIDING-WB method=fallback_single_token attrs= desc_fp=sliding whiteboard wall system allowance",0.740
GHENT-CHAMPION-WALL,"weak_canonical_candidate","canonical=GHENT-CHAMPION-WALL method=fallback_single_token attrs= desc_fp=wall mounted enclosed display case alumi",0.740
GHENT-CHAMPION-2040,"weak_canonical_candidate","canonical=GHENT-CHAMPION-2040 method=fallback_single_token attrs= desc_fp=high security wall display case steel st",0.740
GHENT-VARSITY-FLOOR,"weak_canonical_candidate","canonical=GHENT-VARSITY-FLOOR method=fallback_single_token attrs= desc_fp=freestanding wood display case trophy ca",0.740
GHENT-DISPLAY-LOCK,"weak_canonical_candidate","canonical=GHENT-DISPLAY-LOCK method=fallback_single_token attrs= desc_fp=replacement display case lock cam lock a",0.740
GHENT-DISPLAY-LIGHT,"weak_canonical_candidate","canonical=GHENT-DISPLAY-LIGHT method=fallback_single_token attrs= desc_fp=display case led light kit allowance wal",0.740
BD-RAMP-EDGE-LF,"weak_canonical_candidate","canonical=BD-RAMP-EDGE-LF method=fallback_single_token attrs=mounting desc_fp=mount ramp edge bevel frame entrance mat",0.740
CS-PEDIGRID-SF,"weak_canonical_candidate","canonical=CS-PEDIGRID-SF method=fallback_single_token attrs=mounting desc_fp=pedigrid entrance grille system high tra",0.740
CS-PEDIMAT-SF,"weak_canonical_candidate","canonical=CS-PEDIMAT-SF method=fallback_single_token attrs= desc_fp=pedimat roll up entrance mat system alum",0.740
CS-GRIDLINE-SF,"weak_canonical_candidate","canonical=CS-GRIDLINE-SF method=fallback_single_token attrs= desc_fp=gridline entrance flooring system archit",0.740
CS-FLOORMATIONS-SF,"weak_canonical_candidate","canonical=CS-FLOORMATIONS-SF method=fallback_single_token attrs= desc_fp=floormations modular entrance flooring s",0.740
CS-TREADLINE-T1-SF,"weak_canonical_candidate","canonical=CS-TREADLINE-T1-SF method=fallback_single_token attrs= desc_fp=treadline t1 economical architectural en",0.740
MATS-PERFEC-CLEAN-RUBBER-SF,"weak_canonical_candidate","canonical=MATS-PERFEC-CLEAN-RUBBER-SF method=fallback_single_token attrs=mounting desc_fp=roll up entrance mat rubber hinge constr",0.740
MATS-RECESSED-GRATE-SF,"weak_canonical_candidate","canonical=MATS-RECESSED-GRATE-SF method=fallback_single_token attrs=mounting desc_fp=commercial entry floor grate grille allo",0.740
MATS-LOGO-MAT-SF,"weak_canonical_candidate","canonical=MATS-LOGO-MAT-SF method=fallback_single_token attrs= desc_fp=custom logo walk off entrance mat allowa",0.740
MATS-WALKOFF-RUNNER-SF,"weak_canonical_candidate","canonical=MATS-WALKOFF-RUNNER-SF method=fallback_single_token attrs= desc_fp=commercial walk off runner mat entrance ",0.740
BASE-MB300-SF,"weak_canonical_candidate","canonical=BASE-MB300-SF method=fallback_single_token attrs=finish desc_fp=mb 300 roll up entrance mat aluminum hin",0.740
BASE-MB400-SF,"weak_canonical_candidate","canonical=BASE-MB400-SF method=fallback_single_token attrs=finish desc_fp=mb 400 roll up entrance mat vinyl hinged",0.740
RONICK-BM300-SF,"weak_canonical_candidate","canonical=RONICK-BM300-SF method=fallback_single_token attrs=mounting desc_fp=basemat 300 aluminum entrance floor mat ",0.740
ULINE-H-1667-SF,"weak_canonical_candidate","canonical=ULINE-H-1667-SF method=fallback_single_token attrs=mounting desc_fp=waterhog style commercial entrance mat w",0.740
ULINE-H-2357-SF,"weak_canonical_candidate","canonical=ULINE-H-2357-SF method=fallback_single_token attrs=mounting desc_fp=rubber commercial entrance mat scraper m",0.740
CROWN-WALK-N-CLEAN-SF,"weak_canonical_candidate","canonical=CROWN-WALK-N-CLEAN-SF method=fallback_single_token attrs= desc_fp=walk n clean commercial entrance mat all",0.740
NOTRAX-109-SF,"weak_canonical_candidate","canonical=NOTRAX-109-SF method=fallback_single_token attrs= desc_fp=brush step scraper mat allowance soil re",0.740
MAT-WELL-PREP,"weak_canonical_candidate","canonical=MAT-WELL-PREP method=fallback_single_token attrs= desc_fp=existing matwell cleanout field measurem",0.740
MAT-TEMPLATE-FIELD,"weak_canonical_candidate","canonical=MAT-TEMPLATE-FIELD method=fallback_single_token attrs=mounting desc_fp=field template allowance custom entrance",0.740
EDER-TH20-GSLEEVE,"weak_canonical_candidate","canonical=EDER-TH20-GSLEEVE method=fallback_single_token attrs= desc_fp=ground sleeve foundation sleeve 20 ft ho",0.740
EDER-TH25-GSLEEVE,"weak_canonical_candidate","canonical=EDER-TH25-GSLEEVE method=fallback_single_token attrs= desc_fp=ground sleeve foundation sleeve 25 ft re",0.740
EDER-FLASH-COLLAR-20,"weak_canonical_candidate","canonical=EDER-FLASH-COLLAR-20 method=fallback_single_token attrs= desc_fp=spun aluminum flash collar 20 ft ground ",0.740
EDER-FLASH-COLLAR-25,"weak_canonical_candidate","canonical=EDER-FLASH-COLLAR-25 method=fallback_single_token attrs= desc_fp=spun aluminum flash collar 25 ft ground ",0.740
EDER-REV-TRUCK-1ST,"weak_canonical_candidate","canonical=EDER-REV-TRUCK-1ST method=fallback_single_token attrs= desc_fp=single revolving truck pulley assembly e",0.740
EDER-REV-TRUCK-DBL,"weak_canonical_candidate","canonical=EDER-REV-TRUCK-DBL method=fallback_single_token attrs= desc_fp=double revolving truck pulley assembly t",0.740
EDER-EAGLE-FINIAL,"weak_canonical_candidate","canonical=EDER-EAGLE-FINIAL method=fallback_single_token attrs= desc_fp=eagle finial ornament interior or exteri",0.740
EDER-POLY-HALYARD-50,"weak_canonical_candidate","canonical=EDER-POLY-HALYARD-50 method=fallback_single_token attrs= desc_fp=50 ft polyester flagpole halyard rope ex",0.740
EDER-POLY-HALYARD-100,"weak_canonical_candidate","canonical=EDER-POLY-HALYARD-100 method=fallback_single_token attrs= desc_fp=100 ft polyester flagpole halyard rope t",0.740
EDER-SNAP-HOOK-BRZ-PAIR,"weak_canonical_candidate","canonical=EDER-SNAP-HOOK-BRZ-PAIR method=fallback_single_token attrs= desc_fp=bronze flag snap hooks pair",0.740
EDER-SNAP-HOOK-NYLON-PAIR,"weak_canonical_candidate","canonical=EDER-SNAP-HOOK-NYLON-PAIR method=fallback_single_token attrs= desc_fp=quiet nylon flag snap hooks pair",0.740
EDER-COUNTERWEIGHT,"weak_canonical_candidate","canonical=EDER-COUNTERWEIGHT method=fallback_single_token attrs= desc_fp=counterweight internal halyard flagpole ",0.740
EDER-RETAINER-RING,"weak_canonical_candidate","canonical=EDER-RETAINER-RING method=fallback_single_token attrs= desc_fp=retainer ring assembly internal halyard ",0.740
EDER-DOOR-COVER-PLATE,"weak_canonical_candidate","canonical=EDER-DOOR-COVER-PLATE method=fallback_single_token attrs= desc_fp=access door cover plate internal halyard",0.740
EDER-WB-ALUM,"weak_canonical_candidate","canonical=EDER-WB-ALUM method=fallback_single_token attrs= desc_fp=aluminum wall bracket small residential ",0.740
EDER-MULTI-BRKT,"weak_canonical_candidate","canonical=EDER-MULTI-BRKT method=fallback_single_token attrs= desc_fp=aluminum multi purpose flagpole bracket",0.740
EDER-OUTRIGGER-BRKT,"weak_canonical_candidate","canonical=EDER-OUTRIGGER-BRKT method=fallback_single_token attrs= desc_fp=outrigger wall mount flagpole bracket pr",0.740
EDER-WS100,"weak_canonical_candidate","canonical=EDER-WS100 method=fallback_single_token attrs= desc_fp=ws 100 aluminum wall shield bracket flag",0.740
FLAG-LIGHT-SOLAR,"weak_canonical_candidate","canonical=FLAG-LIGHT-SOLAR method=fallback_single_token attrs= desc_fp=solar flagpole light allowance residenti",0.740
FLAG-LIGHT-GROUND,"weak_canonical_candidate","canonical=FLAG-LIGHT-GROUND method=fallback_single_token attrs= desc_fp=ground mounted flagpole uplight allowanc",0.740
